out_ph_range
---------------------------
19973...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
19998...{'ionic strength': '20', 'ph': '4.9', 'pressure': '1', 'temperature': '298'}
25109...{'ionic strength': '50', 'ph': '3', 'pressure': '1', 'temperature': '298'}
25151...{'ionic strength': '20', 'ph': '4.9', 'pressure': '1', 'temperature': '298'}
25165...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '308'}
25174...{'ionic strength': '0.003', 'ph': '3.0', 'pressure': '1', 'temperature': '298'}
25181...{'ionic strength': '-1', 'ph': '4.0', 'pressure': '1', 'temperature': '323'}
25186...{'ionic strength': '7.0', 'ph': '3.0', 'pressure': '1', 'temperature': '295'}
25187...{'ionic strength': '7.0', 'ph': '3', 'pressure': '1', 'temperature': '298'}
25260...{'ionic strength': '-1', 'ph': '1.9', 'pressure': '1', 'temperature': '298'}
25269...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '310'}
25437...{'ionic strength': '0.05', 'ph': '4.1', 'pressure': '1', 'temperature': '298'}
25454...{'ionic strength': '0.17', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
25474...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '293'}
25486...{'ionic strength': '-1', 'ph': '3.3', 'pressure': '1', 'temperature': '313'}
25487...{'ionic strength': '-1', 'ph': '3.3', 'pressure': '1', 'temperature': '313'}
25505...{'ionic strength': '0', 'ph': '4.8', 'pressure': '1', 'temperature': '277'}
25510...{'ionic strength': '0.02', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
25519...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25520...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25521...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25522...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25523...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25524...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25525...{'ionic strength': '0.01', 'ph': '4.0', 'pressure': '1', 'temperature': '273'}
25570...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
25585...{'ionic strength': '-1', 'ph': '3.9', 'pressure': '1', 'temperature': '293'}
25592...{'ionic strength': '5', 'ph': '4.0', 'pressure': '1', 'temperature': '323'}
25593...{'ionic strength': '0.05', 'ph': '3.5', 'pressure': '1', 'temperature': '318'}
25595...{'ionic strength': '1', 'ph': '4', 'pressure': '1', 'temperature': '313'}
25605...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '298'}
25609...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '298'}
25611...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
25613...{'ionic strength': '-1', 'ph': '1.9', 'pressure': '1', 'temperature': '298'}
25675...{'ionic strength': '-1', 'ph': '3.8', 'pressure': '1', 'temperature': '298'}
25704...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1013', 'temperature': '298'}
25775...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '298'}
25804...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
25828...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '301'}
25833...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '273'}
25847...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
25917...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '298'}
25942...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '313'}
25943...{'ionic strength': '0.0051', 'ph': '3.6', 'pressure': '1', 'temperature': '303'}
25973...{'ionic strength': '150', 'ph': '2.0', 'pressure': '1', 'temperature': '298'}
26001...{'ionic strength': '7.5', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
26054...{'ionic strength': '-1', 'ph': '4.0', 'pressure': '1', 'temperature': '310'}
26061...{'ionic strength': '0.2', 'ph': '8.6', 'pressure': '1', 'temperature': '291'}
26064...{'ionic strength': '-1', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
